rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,final_signal,grasped_object,target_displacement,num_replans,num_replans_steered,first_steer_step
0,0,71,,,FAILURE,-0.3048920067902913,porcelain_mug_1,1.5543122344752192e-15,80,62,75
1,1,61,,,FAILURE,-0.29511144672841955,white_yellow_mug_1,1.5543122344752192e-15,80,63,65
2,2,61,,,FAILURE,-0.2900568633255072,white_yellow_mug_1,1.5543122344752192e-15,80,61,65
3,3,70,,,FAILURE,-0.3496736846769536,white_yellow_mug_1,1.5543122344752192e-15,80,61,75
4,4,75,,,FAILURE,-0.27807915609731204,white_yellow_mug_1,1.61006264013088e-15,80,60,80
5,5,74,,,FAILURE,-0.3068958954199028,porcelain_mug_1,1.5543122344752192e-15,80,61,75
6,6,29,,,FAILURE,-0.0823368428618369,white_yellow_mug_1,1.5543122344752192e-15,80,43,30
7,7,48,,,FAILURE,-0.23879322433613548,porcelain_mug_1,1.5543124764846139e-15,80,63,50
8,8,76,,,FAILURE,-0.2948948785901362,white_yellow_mug_1,0.0017577919815101343,80,59,80
9,9,69,,,FAILURE,-0.33458321649235767,white_yellow_mug_1,1.5543144125584146e-15,80,63,70
10,10,69,,,FAILURE,-0.268499908429476,porcelain_mug_1,1.5543122344752192e-15,80,63,70
11,11,55,,,FAILURE,-0.2875000963097876,white_yellow_mug_1,1.5543122344752192e-15,80,58,60
