rollout,init_state_idx,outcome,grasped_object,target_displacement,first_divergence_step,num_replans,num_replans_steered,first_steer_step
0,0,FAILURE,milk_1,0.0,10,80,0,
1,1,FAILURE,tomato_sauce_1,0.0,10,80,0,
2,2,FAILURE,milk_1,0.08,14,80,0,
3,3,FAILURE,milk_1,0.0,10,80,0,
4,4,FAILURE,milk_1,0.0,10,80,0,
5,5,FAILURE,milk_1,0.0,43,80,0,
6,6,FAILURE,milk_1,0.0,55,80,0,
7,7,FAILURE,milk_1,0.0,51,80,0,
8,8,FAILURE,milk_1,0.0,25,80,0,
9,9,FAILURE,milk_1,0.0,51,80,0,
10,10,FAILURE,milk_1,0.0,50,80,0,
11,11,FAILURE,milk_1,0.0,45,80,0,
