rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,min_signal,mean_signal,final_signal,grasped_object
0,0,10,,,FAILURE,-0.1887249142662118,-0.0960397610813278,-0.08671433737890975,akita_black_bowl_3
1,1,10,27,84,FAILURE,-0.3276105133640166,-0.18012933228666356,-0.20047395239495033,akita_black_bowl_1
2,2,10,36,,SUCCESS,-0.11687273849892821,0.06756324295126447,0.12002136016249716,akita_black_bowl_2
3,3,,,,SUCCESS,-0.09365307396957834,0.06429986337125217,0.11589570760651609,akita_black_bowl_2
4,4,45,107,316,FAILURE,-0.22656359962073686,-0.09305964787660105,-0.12156524505882735,akita_black_bowl_1
5,5,,,,SUCCESS,-0.09126006872717846,0.05764238093894761,0.10602334219477391,akita_black_bowl_2
6,6,10,,,FAILURE,-0.1950287205004011,-0.13687305495122895,-0.1384999090659479,akita_black_bowl_3
7,7,36,,,FAILURE,-0.20450866011009966,-0.14432855226782607,-0.17127423217356544,akita_black_bowl_3
8,8,,,,SUCCESS,-0.09395631343532657,0.055291142717531945,0.11474826229681201,akita_black_bowl_2
9,9,,,,SUCCESS,-0.08239218069726556,0.04654882836338626,0.10561231180153191,akita_black_bowl_2
10,10,52,155,238,FAILURE,-0.3831818540391463,-0.16658154463988473,-0.25934627797687526,akita_black_bowl_1
11,11,36,,,FAILURE,-0.20623787975201588,-0.1542909303444147,-0.1789779028297312,akita_black_bowl_3
12,12,,,,SUCCESS,-0.08486460685559821,0.07566856920751626,0.10431593640728698,akita_black_bowl_2
13,13,40,,,FAILURE,-0.18547685550765403,-0.13047127149636778,-0.15013810440421949,akita_black_bowl_3
14,14,42,231,,FAILURE,-0.1685850737964752,-0.06970653494481939,-0.06646940614433422,akita_black_bowl_3
15,15,43,266,,FAILURE,-0.15523451401792632,-0.06338049874889137,-0.06516595703016095,akita_black_bowl_3
16,16,,,,SUCCESS,-0.0972879181629589,0.05438210056719537,0.10405113084577469,akita_black_bowl_2
17,17,,,,SUCCESS,-0.08447179607244737,0.048360386252445486,0.08336427651036109,akita_black_bowl_2
18,18,40,218,,FAILURE,-0.16403488188215795,-0.0651304764997513,-0.028991177070023078,akita_black_bowl_3
19,19,10,,,FAILURE,-0.22863228911230168,-0.1640082254970373,-0.17847868023699726,akita_black_bowl_3
