rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,min_signal,mean_signal,final_signal,grasped_object
0,0,40,,,FAILURE,-0.33206457968621766,-0.26800876093294834,-0.25754062137581524,plate_1
1,1,45,,,FAILURE,-0.2949508727731966,-0.23239338382961827,-0.2634102964372936,plate_1
2,2,43,376,,FAILURE,-0.3129293812306556,-0.13655534692760515,0.3834259927339287,plate_1
3,3,43,,,FAILURE,-0.3508214705528272,-0.28493620850664564,-0.32426343334037927,plate_1
4,4,41,,,FAILURE,-0.3054998045348884,-0.24207375737162642,-0.25023750366471564,plate_1
5,5,44,,,FAILURE,-0.38967948261826546,-0.30668916961482684,-0.37920527087210876,plate_1
6,6,43,,,FAILURE,-0.30172928585393194,-0.23657100686259291,-0.20687957335473028,plate_1
7,7,43,,,FAILURE,-0.3326718981178336,-0.2507650184886197,-0.18893482078099935,plate_1
8,8,41,,,FAILURE,-0.34442022399686995,-0.2623097405798604,-0.2220838699970969,plate_1
9,9,42,,,FAILURE,-0.3673436202436505,-0.3023619313921664,-0.32793822289226204,plate_1
10,10,39,,,FAILURE,-0.3263643364186967,-0.2572880400119855,-0.31459557792612713,plate_1
11,11,39,,,FAILURE,-0.3295666259841878,-0.24890768984266615,-0.2851529883485183,plate_1
12,12,40,,,FAILURE,-0.4521207355523298,-0.32024961935713114,-0.3066609463137163,plate_1
13,13,41,,,FAILURE,-0.31096073726979223,-0.2555871979671679,-0.2628324406005066,plate_1
14,14,43,,,FAILURE,-0.3258089571463023,-0.24886800846764545,-0.3145709544082908,plate_1
15,15,45,,,FAILURE,-0.34623545780636855,-0.26057511759946655,-0.34623545780636855,plate_1
16,16,43,,,FAILURE,-0.3066505509315854,-0.18758968348265279,-0.055814021382930214,plate_1
17,17,37,,,FAILURE,-0.3988237601859204,-0.3324185730083203,-0.3944682620578604,plate_1
18,18,43,,,FAILURE,-0.3467764217620193,-0.14403645252264577,-0.000632983104740692,plate_1
19,19,46,,,FAILURE,-0.3937645786291613,-0.31473186459805813,-0.37298669836041204,plate_1
